,nation,player_name,team,url
7758,Turkey,Furkan ?z?al,Bursaspor,https://www.fifaindex.com/player/143224/furkan-%C3%B6z%C3%A7al/
7759,Argentina,Marcos Gelabert,San Juan,https://www.fifaindex.com/player/143107/marcos-gelabert/
7760,Argentina,Emiliano Papa,Sarand?,https://www.fifaindex.com/player/143025/emiliano-papa/
7761,Argentina,Germ?n Herrera,Rosario Central,https://www.fifaindex.com/player/143018/germ%C3%A1n-herrera/
7762,Croatia,Mihael Miki?,Sanfrecce Hiroshima,https://www.fifaindex.com/player/141265/mihael-miki%C4%87/
7763,Scotland,Steven MacLean,St. Johnstone,https://www.fifaindex.com/player/140445/steven-maclean/
7764,Portugal,Moreno,V. Guimar?es,https://www.fifaindex.com/player/140284/moreno/
7765,Netherlands,Jos Hooiveld,FC Twente,https://www.fifaindex.com/player/139701/jos-hooiveld/
7766,England,Dean Gerken,Ipswich,https://www.fifaindex.com/player/139476/dean-gerken/
7767,Switzerland,Davide Call?,FC Basel,https://www.fifaindex.com/player/139259/davide-call%C3%A0/
7768,Colombia,Fabi?n Vargas,La Equidad,https://www.fifaindex.com/player/139234/fabi%C3%A1n-vargas/
7769,Netherlands,Gino Coutinho,AZ,https://www.fifaindex.com/player/138351/gino-coutinho/
7770,El Salvador,Arturo Alvarez,Chicago Fire,https://www.fifaindex.com/player/138297/arturo-alvarez/
7771,Ghana,Lloyd Sam,D.C. United,https://www.fifaindex.com/player/138188/lloyd-sam/
7772,England,John Welsh,Preston,https://www.fifaindex.com/player/138151/john-welsh/
7773,Germany,Florian Dick,Arminia Bielefeld,https://www.fifaindex.com/player/137708/florian-dick/
7774,United States,Ricardo Clark,Houston Dynamo,https://www.fifaindex.com/player/137267/ricardo-clark/
7775,Finland,Niki M?enp??,Brighton,https://www.fifaindex.com/player/135587/niki-m%C3%A4enp%C3%A4%C3%A4/
7776,Denmark,Anders Lindegaard,Burnley,https://www.fifaindex.com/player/135043/anders-lindegaard/
7777,Turkey,Ufuk Ceylan,Aytemiz Alanyaspor,https://www.fifaindex.com/player/128529/ufuk-ceylan/
7778,Italy,Marco Donadel,Montreal Impact,https://www.fifaindex.com/player/122361/marco-donadel/
7779,Germany,Lukas Kruse,Holstein Kiel,https://www.fifaindex.com/player/121988/lukas-kruse/
7780,Switzerland,Fabio Coltorti,RB Leipzig,https://www.fifaindex.com/player/120718/fabio-coltorti/
7781,France,Micka?l Tacalfred,AJ Auxerre,https://www.fifaindex.com/player/107305/micka%C3%ABl-tacalfred/
7782,Norway,Christian Grindheim,V?lerenga Fotball,https://www.fifaindex.com/player/104476/christian-grindheim/
7783,Italy,Andrea Cossu,Cagliari,https://www.fifaindex.com/player/103496/andrea-cossu/
7784,England,Karl Henry,Bolton,https://www.fifaindex.com/player/100803/karl-henry/
7785,Mali,Sigamary Diarra,Valenciennes FC,https://www.fifaindex.com/player/53760/sigamary-diarra/
7786,France,Bruno Grougi,Stade Brestois,https://www.fifaindex.com/player/51910/bruno-grougi/
7787,Scotland,Don Cowie,Hearts,https://www.fifaindex.com/player/51513/don-cowie/
7788,Norway,Morten Morisbak Skj©ªnsberg,Stab©¡k Fotball,https://www.fifaindex.com/player/51116/morten-morisbak-skj%C3%B8nsberg/
7789,Switzerland,Philippe Senderos,Houston Dynamo,https://www.fifaindex.com/player/49966/philippe-senderos/
7790,France,Beno?t Cheyrou,Toronto FC,https://www.fifaindex.com/player/41734/beno%C3%AEt-cheyrou/
7791,Netherlands,Dorus de Vries,Celtic,https://www.fifaindex.com/player/27532/dorus-de-vries/
7792,Austria,Emanuel Pogatetz,LASK Linz,https://www.fifaindex.com/player/12940/emanuel-pogatetz/
7793,Northern Ireland,Roy Carroll,Free Agents,https://www.fifaindex.com/player/5355/roy-carroll/
7794,Portugal,Andr? Pereira,FC Porto,https://www.fifaindex.com/player/241720/andr%C3%A9-pereira/
7795,Peru,Adri?n Zela,Free Agents,https://www.fifaindex.com/player/241681/adri%C3%A1n-zela/
7796,Argentina,Fabi?n Mu?oz,Temperley,https://www.fifaindex.com/player/241633/fabi%C3%A1n-mu%C3%B1oz/
7797,Ecuador,Roberto Ordo?ez,Free Agents,https://www.fifaindex.com/player/241405/roberto-ordo%C3%B1ez/
7798,Czech Republic,?imon Falta,Free Agents,https://www.fifaindex.com/player/241362/%C5%A1imon-falta/
7799,South Africa,Reeve Frosler,Free Agents,https://www.fifaindex.com/player/241233/reeve-frosler/
7800,Croatia,Nikola Vla?i?,Everton,https://www.fifaindex.com/player/241095/nikola-vla%C5%A1i%C4%87/
7801,France,Bilel Aouacheria,Moreirense,https://www.fifaindex.com/player/240943/bilel-aouacheria/
7802,Spain,Francis,Real Betis,https://www.fifaindex.com/player/240898/francis/
7803,Uruguay,Nicol?s De la Cruz,River Plate,https://www.fifaindex.com/player/240699/nicol%C3%A1s-de-la-cruz/
7804,Bosnia Herzegovina,Haris Duljevi?,Dynamo Dresden,https://www.fifaindex.com/player/240342/haris-duljevi%C4%87/
7805,Czech Republic,Luk?? Juli?,Sparta Praha,https://www.fifaindex.com/player/240265/luk%C3%A1%C5%A1-juli%C5%A1/
7806,Cameroon,Jean-Pierre Nsame,BSC Young Boys,https://www.fifaindex.com/player/240240/jean-pierre-nsame/
7807,Cameroon,Pierre Kunde Malong,Granada CF,https://www.fifaindex.com/player/240190/pierre-kunde-malong/
7808,Slovenia,Patrik Eler,AS Nancy,https://www.fifaindex.com/player/240023/patrik-eler/
7809,Ghana,Raphael Dwamena,FC Z?rich,https://www.fifaindex.com/player/239907/raphael-dwamena/
7810,Greece,Konstantinos Galanopoulos,AEK Athens,https://www.fifaindex.com/player/239845/konstantinos-galanopoulos/
7811,Germany,Steffen Sch?fer,1. FC Magdeburg,https://www.fifaindex.com/player/239752/steffen-sch%C3%A4fer/
7812,Poland,Szymon ?urkowski,G?rnik Zabrze,https://www.fifaindex.com/player/239732/szymon-%C5%BCurkowski/
7813,Burkina Faso,Hassane Band?,KV Mechelen,https://www.fifaindex.com/player/239718/hassane-band%C3%A9/
7814,Ukraine,Igor Chaykovskyi,Anzhi Makhachkala,https://www.fifaindex.com/player/239716/igor-chaykovskyi/
7815,Venezuela,Jes?s Hern?ndez,Belenenses,https://www.fifaindex.com/player/239654/jes%C3%BAs-hern%C3%A1ndez/
7816,Egypt,Mostafa Fathi,Al Taawoun,https://www.fifaindex.com/player/239652/mostafa-fathi/
7817,Slovakia,Adam Zrelak,1. FC N?rnberg,https://www.fifaindex.com/player/239627/adam-zrelak/
7818,Brazil,Tiago Galv?o,Chaves,https://www.fifaindex.com/player/239509/tiago-galv%C3%A3o/
7819,Cameroon,Abenego Tembeng,Tondela,https://www.fifaindex.com/player/239483/abenego-tembeng/
7820,Turkey,Sad©¥k ?iftp©¥nar,Yeni Malatyaspor,https://www.fifaindex.com/player/239050/sad%C4%B1k-%C3%A7iftp%C4%B1nar/
7821,Nigeria,Okechukwu Azubuike,Yeni Malatyaspor,https://www.fifaindex.com/player/239049/okechukwu-azubuike/
7822,Spain,Delm?s,Real Zaragoza,https://www.fifaindex.com/player/239010/delm%C3%A1s/
7823,Germany,Michel Niemeyer,1. FC Magdeburg,https://www.fifaindex.com/player/238971/michel-niemeyer/
7824,Slovenia,Nemanja Mitrovi?,Jagiellonia,https://www.fifaindex.com/player/238942/nemanja-mitrovi%C4%87/
7825,Portugal,Wilson Manaf?,Portim?o,https://www.fifaindex.com/player/238857/wilson-manaf%C3%A1/
7826,Netherlands,Jesper Verlaat,Werder Bremen II,https://www.fifaindex.com/player/238779/jesper-verlaat/
7827,Germany,Klaus Gjasula,Hallescher FC,https://www.fifaindex.com/player/238692/klaus-gjasula/
7828,Germany,Patrick Herrmann,Holstein Kiel,https://www.fifaindex.com/player/238685/patrick-herrmann/
7829,Germany,Daniel H?gele,SG Sonnenhof Gro©¬aspach,https://www.fifaindex.com/player/238682/daniel-h%C3%A4gele/
7830,Germany,Kai Gehring,SG Sonnenhof Gro©¬aspach,https://www.fifaindex.com/player/238678/kai-gehring/
7831,Germany,Sebastian Vasiliadis,VfR Aalen,https://www.fifaindex.com/player/238637/sebastian-vasiliadis/
7832,Germany,Jannis Nikolaou,W?rzburger Kickers,https://www.fifaindex.com/player/238619/jannis-nikolaou/
7833,Germany,Michele Rizzi,Preu©¬en M?nster,https://www.fifaindex.com/player/238561/michele-rizzi/
7834,Germany,Lion Schweers,Preu©¬en M?nster,https://www.fifaindex.com/player/238557/lion-schweers/
7835,Portugal,Fernando Fonseca,Estoril Praia,https://www.fifaindex.com/player/238507/fernando-fonseca/
7836,Brazil,Cauly Oliveira Souza,MSV Duisburg,https://www.fifaindex.com/player/238486/cauly-oliveira-souza/
7837,Norway,Fredrik Knudsen,FK Haugesund,https://www.fifaindex.com/player/238263/fredrik-knudsen/
7838,Senegal,Krepin Diatta,Sarpsborg 08 FF,https://www.fifaindex.com/player/238227/krepin-diatta/
7839,Korea Republic,Choe Jae Hyeon,Jeonnam Dragons,https://www.fifaindex.com/player/238084/choe-jae-hyeon/
7840,Germany,Eduard L?wen,1. FC N?rnberg,https://www.fifaindex.com/player/238072/eduard-l%C3%B6wen/
7841,Iceland,Albert Gu©£mundsson,PSV,https://www.fifaindex.com/player/238004/albert-gu%C3%B0mundsson/
7842,Netherlands,Vito van Crooij,VVV-Venlo,https://www.fifaindex.com/player/237895/vito-van-crooij/
7843,Netherlands,Ralf Seuntjens,VVV-Venlo,https://www.fifaindex.com/player/237892/ralf-seuntjens/
7844,Mexico,Aldo Arellano,Quer?taro,https://www.fifaindex.com/player/237890/aldo-arellano/
7845,Russia,Ayaz Guliev,Anzhi Makhachkala,https://www.fifaindex.com/player/237844/ayaz-guliev/
7846,Japan,Ryohei Shirasaki,Shimizu,https://www.fifaindex.com/player/237768/ryohei-shirasaki/
7847,Japan,Ken Tokura,Hokkaido Consadole Sapporo,https://www.fifaindex.com/player/237750/ken-tokura/
7848,Brazil,Diego Medeiros,Pa?os Ferreira,https://www.fifaindex.com/player/237562/diego-medeiros/
7849,DR Congo,Jonathan Bolingi,Royal Mouscron,https://www.fifaindex.com/player/237555/jonathan-bolingi/
7850,DR Congo,Merveille Bokadi,Standard Li?ge,https://www.fifaindex.com/player/237554/merveille-bokadi/
7851,Venezuela,Gustavo P?ez,Kaizer Chiefs,https://www.fifaindex.com/player/237542/gustavo-p%C3%A1ez/
7852,Sweden,Omar Eddahri,AFC Eskilstuna,https://www.fifaindex.com/player/237513/omar-eddahri/
7853,Cameroon,Nouhou Tolo,Sounders FC,https://www.fifaindex.com/player/237469/nouhou-tolo/
7854,Serbia,Vladimir Kova?evi?,KV Kortrijk,https://www.fifaindex.com/player/237460/vladimir-kova%C4%8Devi%C4%87/
7855,Ghana,Lumor Agbenyenu,Portim?o,https://www.fifaindex.com/player/237456/lumor-agbenyenu/
7856,Japan,Genta Miura,Gamba Osaka,https://www.fifaindex.com/player/237429/genta-miura/
7857,Korea Republic,Paik Seung Ho,Girona CF,https://www.fifaindex.com/player/237424/paik-seung-ho/
7858,Sweden,Niklas Busch Thor,IK Sirius,https://www.fifaindex.com/player/237348/niklas-busch-thor/
7859,Mali,Aly Mall?,Udinese,https://www.fifaindex.com/player/237294/aly-mall%C3%A9/
7860,United States,Jakob Nerwinski,Whitecaps FC,https://www.fifaindex.com/player/237252/jakob-nerwinski/
7861,Sweden,Jesper Nyholm,AIK,https://www.fifaindex.com/player/237226/jesper-nyholm/
7862,Germany,Julian Gressel,Atlanta United FC,https://www.fifaindex.com/player/237223/julian-gressel/
7863,Ghana,Lalas Abubakar,Columbus Crew SC,https://www.fifaindex.com/player/237214/lalas-abubakar/
7864,Portugal,Yuri Ribeiro,Rio Ave,https://www.fifaindex.com/player/237211/yuri-ribeiro/
7865,France,Boubacar Kamara,Olym. Marseille,https://www.fifaindex.com/player/236987/boubacar-kamara/
7866,Colombia,Jorge Lozano,Tigres FC,https://www.fifaindex.com/player/236858/jorge-lozano/
7867,Nigeria,Orji Okwonkwo,Bologna,https://www.fifaindex.com/player/236836/orji-okwonkwo/
7868,Ivory Coast,Habib Ma?ga,AS Saint-?tienne,https://www.fifaindex.com/player/236817/habib-ma%C3%AFga/
7869,France,Martin Terrier,RC Strasbourg,https://www.fifaindex.com/player/236786/martin-terrier/
7870,Greece,Anastasios Chatzigiovanis,Panathinaikos,https://www.fifaindex.com/player/236696/anastasios-chatzigiovanis/
7871,Spain,Marc Gual,Sevilla Atl?t.,https://www.fifaindex.com/player/236692/marc-gual/
7872,Cameroon,Martin Hongla,Granada CF,https://www.fifaindex.com/player/236556/martin-hongla/
7873,Germany,Robin Koch,SC Freiburg,https://www.fifaindex.com/player/236532/robin-koch/
7874,Spain,Marc Cardona,FC Barcelona B,https://www.fifaindex.com/player/236393/marc-cardona/
7875,Nigeria,Kingsley Madu,Zulte-Waregem,https://www.fifaindex.com/player/236313/kingsley-madu/
7876,Uruguay,Cristian Gonz?lez,Sevilla Atl?t.,https://www.fifaindex.com/player/236020/cristian-gonz%C3%A1lez/
7877,Cameroon,Nicolas Moumi Ngamaleu,BSC Young Boys,https://www.fifaindex.com/player/235996/nicolas-moumi-ngamaleu/
7878,Spain,Alex Pozo,Sevilla Atl?t.,https://www.fifaindex.com/player/235983/alex-pozo/
7879,Italy,Francesco Cassata,Sassuolo,https://www.fifaindex.com/player/235942/francesco-cassata/
7880,England,Ryan Sessegnon,Fulham,https://www.fifaindex.com/player/235883/ryan-sessegnon/
7881,Argentina,Gabriel Gudi?o,San Lorenzo,https://www.fifaindex.com/player/235827/gabriel-gudi%C3%B1o/
7882,Netherlands,Milan Massop,Excelsior,https://www.fifaindex.com/player/235579/milan-massop/
7883,Portugal,Joel,Estoril Praia,https://www.fifaindex.com/player/235486/joel/
7884,Argentina,Marcelino Moreno,Lan?s,https://www.fifaindex.com/player/235467/marcelino-moreno/
7885,Spain,Quim Araujo,Albacete,https://www.fifaindex.com/player/235466/quim-araujo/
7886,Austria,Nikola Dovedan,1. FC Heidenheim,https://www.fifaindex.com/player/235419/nikola-dovedan/
7887,Netherlands,Ilias Alhaft,Sparta R'dam,https://www.fifaindex.com/player/235361/ilias-alhaft/
7888,Romania,Gabriel Iancu,Termalica,https://www.fifaindex.com/player/235345/gabriel-iancu/
7889,Spain,Manel,Lorca Deportiva,https://www.fifaindex.com/player/235296/manel/
7890,Portugal,Pedro Pinto,V. Set?bal,https://www.fifaindex.com/player/235257/pedro-pinto/
7891,Netherlands,Othman El Kabir,Djurg?rdens IF,https://www.fifaindex.com/player/235239/othman-el-kabir/
7892,Argentina,Maximiliano Correa,Godoy Cruz,https://www.fifaindex.com/player/235177/maximiliano-correa/
7893,Portugal,R?ben Vinagre,Wolves,https://www.fifaindex.com/player/235172/r%C3%BAben-vinagre/
7894,Italy,Michele Castagnetti,Empoli,https://www.fifaindex.com/player/235163/michele-castagnetti/
7895,Italy,Francesco Orlando,Salerno,https://www.fifaindex.com/player/235126/francesco-orlando/
7896,Ghana,Nana Opoku Ampomah,Waasl. Beveren,https://www.fifaindex.com/player/235103/nana-opoku-ampomah/
7897,Spain,Luis P?rez,CD Tenerife,https://www.fifaindex.com/player/235088/luis-p%C3%A9rez/
7898,Russia,Fedor Chalov,CSKA Moscow,https://www.fifaindex.com/player/235029/fedor-chalov/
7899,Paraguay,Sergio D?az,CD Lugo,https://www.fifaindex.com/player/235024/sergio-d%C3%ADaz/
7900,Portugal,Lu?s Rocha,F. Santa Maria,https://www.fifaindex.com/player/234992/lu%C3%ADs-rocha/
7901,Senegal,Arthur Yannick Gomis,US Orl?ans,https://www.fifaindex.com/player/234972/arthur-yannick-gomis/
7902,Bosnia Herzegovina,Goran Kara?i?,SV Sandhausen,https://www.fifaindex.com/player/234841/goran-kara%C4%8Di%C4%87/
7903,France,Yoane Wissa,AC Ajaccio,https://www.fifaindex.com/player/234824/yoane-wissa/
7904,Korea Republic,Gu Sung Yun,Hokkaido Consadole Sapporo,https://www.fifaindex.com/player/234748/gu-sung-yun/
7905,Ghana,Joseph Attamah,Medipol Ba?ak?ehir,https://www.fifaindex.com/player/234716/joseph-attamah/
7906,Netherlands,Wouter van der Steen,SC Heerenveen,https://www.fifaindex.com/player/234712/wouter-van-der-steen/
7907,Netherlands,Philippe Sandler,PEC Zwolle,https://www.fifaindex.com/player/234679/philippe-sandler/
7908,Denmark,Joakim M©¡hle,KRC Genk,https://www.fifaindex.com/player/234678/joakim-m%C3%A6hle/
7909,Angola,Aur?lio Buta,Antwerp,https://www.fifaindex.com/player/234573/aur%C3%A9lio-buta/
7910,Brazil,Heliardo,Tondela,https://www.fifaindex.com/player/234512/heliardo/
7911,Denmark,Jesper Christjansen,Lyngby BK,https://www.fifaindex.com/player/234482/jesper-christjansen/
7912,Germany,Felix M?ller,W?rzburger Kickers,https://www.fifaindex.com/player/234413/felix-m%C3%BCller/
7913,Canada,Alphonso Davies,Whitecaps FC,https://www.fifaindex.com/player/234396/alphonso-davies/
7914,Argentina,Giuliano Modica,Kaiserslautern,https://www.fifaindex.com/player/234380/giuliano-modica/
7915,France,Myziane Maolida,Olym. Lyonnais,https://www.fifaindex.com/player/234333/myziane-maolida/
7916,Japan,Atomu Tanaka,HJK Helsinki,https://www.fifaindex.com/player/234293/atomu-tanaka/
7917,Germany,Cebio Soukou,Erzgebirge Aue,https://www.fifaindex.com/player/234284/cebio-soukou/
7918,Cameroon,Mohamed Djetei,Gimn?stic,https://www.fifaindex.com/player/234231/mohamed-djetei/
7919,Netherlands,Carel Eiting,Ajax,https://www.fifaindex.com/player/234203/carel-eiting/
7920,Belgium,Orel Mangala,VfB Stuttgart,https://www.fifaindex.com/player/234078/orel-mangala/
7921,Senegal,Mamadou Fall,Sp. Charleroi,https://www.fifaindex.com/player/233897/mamadou-fall/
7922,Ivory Coast,Eboue Kouassi,Celtic,https://www.fifaindex.com/player/233840/eboue-kouassi/
7923,Brazil,Sueliton,V. Guimar?es,https://www.fifaindex.com/player/233616/sueliton/
7924,Korea Republic,Song Si Woo,Incheon United,https://www.fifaindex.com/player/233581/song-si-woo/
7925,Ecuador,Fernando Gaibor,Free Agents,https://www.fifaindex.com/player/233529/fernando-gaibor/
7926,Korea Republic,Jang Ho Ik,Suwon Bluewings,https://www.fifaindex.com/player/233457/jang-ho-ik/
7927,South Africa,Sifiso Hlanti,Free Agents,https://www.fifaindex.com/player/233437/sifiso-hlanti/
7928,Portugal,Verdasca,Real Zaragoza,https://www.fifaindex.com/player/233413/verdasca/
7929,England,Dean Henderson,Shrewsbury,https://www.fifaindex.com/player/233306/dean-henderson/
7930,Japan,Yuma Suzuki,Kashima Antlers,https://www.fifaindex.com/player/233250/yuma-suzuki/
7931,Japan,Tatsuki Nara,Kawasaki Front.,https://www.fifaindex.com/player/233226/tatsuki-nara/
7932,Japan,Shogo Taniguchi,Kawasaki Front.,https://www.fifaindex.com/player/233225/shogo-taniguchi/
7933,Japan,Kentaro Moriya,Kawasaki Front.,https://www.fifaindex.com/player/233145/kentaro-moriya/
7934,France,Mathias Pereira Lage,Clermont Foot,https://www.fifaindex.com/player/233061/mathias-pereira-lage/
7935,Japan,Shunki Takahashi,Vissel Kobe,https://www.fifaindex.com/player/232909/shunki-takahashi/
7936,Austria,Christoph Monschein,Austria Wien,https://www.fifaindex.com/player/232900/christoph-monschein/
7937,Japan,Atsutaka Nakamura,Kashima Antlers,https://www.fifaindex.com/player/232887/atsutaka-nakamura/
7938,Japan,Kento Misao,Kashima Antlers,https://www.fifaindex.com/player/232882/kento-misao/
7939,Japan,Ryota Nagaki,Kashima Antlers,https://www.fifaindex.com/player/232879/ryota-nagaki/
7940,Japan,Daigo Nishi,Kashima Antlers,https://www.fifaindex.com/player/232875/daigo-nishi/
7941,Korea Republic,Choi Kyu Baek,Ulsan Hyundai,https://www.fifaindex.com/player/232831/choi-kyu-baek/
7942,Senegal,Djibril Diaw,Korona Kielce,https://www.fifaindex.com/player/232760/djibril-diaw/
7943,Japan,Kosuke Nakamachi,Yokohama F¡¤Marinos,https://www.fifaindex.com/player/232753/kosuke-nakamachi/
7944,Brazil,Fabio,Gamba Osaka,https://www.fifaindex.com/player/232750/fabio/
7945,Japan,Yutaka Yoshida,Sagan Tosu,https://www.fifaindex.com/player/232728/yutaka-yoshida/
7946,Japan,Yohei Toyoda,Sagan Tosu,https://www.fifaindex.com/player/232714/yohei-toyoda/
7947,Argentina,Mat?as Garrido,Patronato,https://www.fifaindex.com/player/232698/mat%C3%ADas-garrido/
7948,Korea Republic,Kim Min Hyeok,Sagan Tosu,https://www.fifaindex.com/player/232691/kim-min-hyeok/
7949,Japan,Shun Nagasawa,Gamba Osaka,https://www.fifaindex.com/player/232622/shun-nagasawa/
7950,Japan,Kohei Shimizu,Shimizu,https://www.fifaindex.com/player/232617/kohei-shimizu/
7951,Japan,Hiroyuki Abe,Kawasaki Front.,https://www.fifaindex.com/player/232608/hiroyuki-abe/
7952,Japan,Yuta Nakayama,Kashiwa Reysol,https://www.fifaindex.com/player/232599/yuta-nakayama/
7953,Japan,Daiki Niwa,Sanfrecce Hiroshima,https://www.fifaindex.com/player/232598/daiki-niwa/
7954,Korea Republic,Ko Seung Beom,Suwon Bluewings,https://www.fifaindex.com/player/232595/ko-seung-beom/
7955,Argentina,Walter Andrade,Patronato,https://www.fifaindex.com/player/232582/walter-andrade/
7956,Brazil,Eduardo,Kawasaki Front.,https://www.fifaindex.com/player/232581/eduardo/
7957,Brazil,Gabriel,ES Troyes AC,https://www.fifaindex.com/player/232580/gabriel/
7958,Uruguay,Diego Zabala,Uni?n,https://www.fifaindex.com/player/232546/diego-zabala/
7959,Argentina,Facundo Silva,Santa Fe,https://www.fifaindex.com/player/232516/facundo-silva/
7960,Brazil,Ramon Lopes,Kashiwa Reysol,https://www.fifaindex.com/player/232469/ramon-lopes/
7961,Brazil,Caio Henrique,Atl?tico Madrid,https://www.fifaindex.com/player/232440/caio-henrique/
7962,Germany,Robin Krau©¬e,SC Paderborn,https://www.fifaindex.com/player/232406/robin-krau%C3%9Fe/
7963,Japan,Ryota Moriwaki,Urawa Diamonds,https://www.fifaindex.com/player/232373/ryota-moriwaki/
7964,Croatia,Josip Posavec,Palermo,https://www.fifaindex.com/player/232350/josip-posavec/
7965,Argentina,Agust?n Bouzat,Boca Juniors,https://www.fifaindex.com/player/232255/agust%C3%ADn-bouzat/
7966,Netherlands,Justin Bijlow,Feyenoord,https://www.fifaindex.com/player/232229/justin-bijlow/
7967,Germany,Fabian Herbers,Philadelphia,https://www.fifaindex.com/player/232166/fabian-herbers/
7968,Colombia,Jhonier Viveros,Cortulu?,https://www.fifaindex.com/player/232125/jhonier-viveros/
7969,Algeria,Mohamed Benyettou,Al Shabab,https://www.fifaindex.com/player/232111/mohamed-benyettou/
7970,Sweden,Daniel Sundgren,AIK,https://www.fifaindex.com/player/232062/daniel-sundgren/
7971,Argentina,Dami?n Arce,Uni?n,https://www.fifaindex.com/player/231891/dami%C3%A1n-arce/
7972,Romania,Andrei Ivan,FC Krasnodar,https://www.fifaindex.com/player/231726/andrei-ivan/
7973,Colombia,Kevin Salazar,Ind. Santa Fe,https://www.fifaindex.com/player/231713/kevin-salazar/
7974,Colombia,Daniel Cata?o,Indep. Medell?n,https://www.fifaindex.com/player/231667/daniel-cata%C3%B1o/
7975,Nigeria,Sadiq Umar,Torino,https://www.fifaindex.com/player/231627/sadiq-umar/
7976,Sweden,Tommy Thelin,J?nk?pings S?dra IF,https://www.fifaindex.com/player/231508/tommy-thelin/
7977,Sweden,Aly Keita,?stersunds FK,https://www.fifaindex.com/player/231489/aly-keita/
7978,Spain,Cantalapiedra,Sevilla Atl?t.,https://www.fifaindex.com/player/231433/cantalapiedra/
7979,Portugal,Jo?o Nunes,Lechia Gda?sk,https://www.fifaindex.com/player/231392/jo%C3%A3o-nunes/
7980,Argentina,Gonzalo Montiel,River Plate,https://www.fifaindex.com/player/231340/gonzalo-montiel/
7981,Denmark,Martin Spelmann,Aarhus GF,https://www.fifaindex.com/player/231132/martin-spelmann/
7982,Paraguay,Juan Pati?o,Racing Club,https://www.fifaindex.com/player/231093/juan-pati%C3%B1o/
7983,Argentina,Bruno Pitt?n,Uni?n,https://www.fifaindex.com/player/231070/bruno-pitt%C3%B3n/
7984,Colombia,Duv?n Vergara,Envigado,https://www.fifaindex.com/player/230975/duv%C3%A1n-vergara/
7985,Spain,Unai Sim?n,Athletic Bilbao,https://www.fifaindex.com/player/230869/unai-sim%C3%B3n/
7986,France,Denis Will Poha,US Orl?ans,https://www.fifaindex.com/player/230860/denis-will-poha/
7987,Spain,Nacho,CD Numancia,https://www.fifaindex.com/player/230849/nacho/
7988,Albania,Rey Manaj,Granada CF,https://www.fifaindex.com/player/230800/rey-manaj/
7989,Nigeria,Marco Tagbajumi,Lillestr©ªm SK,https://www.fifaindex.com/player/230682/marco-tagbajumi/
7990,Brazil,Fabri Arnoia,S?o Paulo,https://www.fifaindex.com/player/230493/fabri-arnoia/
7991,Brazil,Jose Emeirson,Vit?ria,https://www.fifaindex.com/player/230491/jose-emeirson/
7992,Brazil,Dersan Dinis,Atl?tico-GO,https://www.fifaindex.com/player/230477/dersan-dinis/
7993,Brazil,Wilsson Rosito,Chapecoense,https://www.fifaindex.com/player/230471/wilsson-rosito/
7994,Brazil,Pedrildo Rocha,Atl?tico-GO,https://www.fifaindex.com/player/230470/pedrildo-rocha/
7995,Brazil,Melvin Regalito,Fluminense,https://www.fifaindex.com/player/230467/melvin-regalito/
7996,Brazil,Breno Laranjeiro,Sport,https://www.fifaindex.com/player/230450/breno-laranjeiro/
7997,Brazil,Nazario Serpe,Ponte Preta,https://www.fifaindex.com/player/230447/nazario-serpe/
7998,Brazil,Oswaldinato,Ava?,https://www.fifaindex.com/player/230430/oswaldinato/
7999,Brazil,Mauri?io Clerez,Chapecoense,https://www.fifaindex.com/player/230413/mauri%C3%A7io-clerez/
8000,Brazil,Weilson Leal,Ava?,https://www.fifaindex.com/player/230396/weilson-leal/
8001,Brazil,Marcelinho Moraisco,S?o Paulo,https://www.fifaindex.com/player/230316/marcelinho-moraisco/
8002,Brazil,Adriano Junqueiras,Coritiba,https://www.fifaindex.com/player/230297/adriano-junqueiras/
8003,Brazil,Gustavo Pastinho,Atl?tico Mineiro,https://www.fifaindex.com/player/230288/gustavo-pastinho/
8004,Brazil,Vincente Dourado,Chapecoense,https://www.fifaindex.com/player/230285/vincente-dourado/
8005,Brazil,Guto Costinho,Palmeiras,https://www.fifaindex.com/player/230282/guto-costinho/
8006,Brazil,Antonaldinho,Ponte Preta,https://www.fifaindex.com/player/230280/antonaldinho/
8007,Brazil,Nuno Cedrim,Atl?tico Mineiro,https://www.fifaindex.com/player/230262/nuno-cedrim/
8008,Brazil,Leo Vimieiro,Atl?tico-GO,https://www.fifaindex.com/player/230244/leo-vimieiro/
8009,Brazil,Kau? Zanson,Sport,https://www.fifaindex.com/player/230221/kau%C3%A3-zanson/
8010,Brazil,Mateus Tangil,Sport,https://www.fifaindex.com/player/230167/mateus-tangil/
8011,Brazil,Fepe Avedo,Atl. Paranaense,https://www.fifaindex.com/player/230166/fepe-avedo/
8012,Portugal,Lu?s Machado,F. Santa Maria,https://www.fifaindex.com/player/230150/lu%C3%ADs-machado/
8013,Brazil,Jhonatan,Moreirense,https://www.fifaindex.com/player/230117/jhonatan/
8014,Brazil,Luis Henrique,F. Santa Maria,https://www.fifaindex.com/player/230086/luis-henrique/
8015,France,Aldo Kalulu,FC Sochaux,https://www.fifaindex.com/player/230079/aldo-kalulu/
8016,France,Enock Kwateng,FC Nantes,https://www.fifaindex.com/player/230074/enock-kwateng/
8017,Costa Rica,Johan Venegas,Minnesota United FC,https://www.fifaindex.com/player/229996/johan-venegas/
