,nation,player_name,team,url
142,Italy,Andrea Belotti,Torino,https://www.fifaindex.com/player/208596/andrea-belotti/
143,Sweden,Emil Forsberg,RB Leipzig,https://www.fifaindex.com/player/208448/emil-forsberg/
144,Portugal,William Carvalho,Sporting CP,https://www.fifaindex.com/player/207566/william-carvalho/
145,France,Samuel Umtiti,FC Barcelona,https://www.fifaindex.com/player/205600/samuel-umtiti/
146,Algeria,Riyad Mahrez,Leicester City,https://www.fifaindex.com/player/204485/riyad-mahrez/
147,Netherlands,Virgil van Dijk,Southampton,https://www.fifaindex.com/player/203376/virgil-van-dijk/
148,England,Raheem Sterling,Manchester City,https://www.fifaindex.com/player/202652/raheem-sterling/
149,Brazil,Roberto Firmino,Liverpool,https://www.fifaindex.com/player/201942/roberto-firmino/
150,Portugal,Danilo Pereira,FC Porto,https://www.fifaindex.com/player/200888/danilo-pereira/
151,Spain,Vitolo,UD Las Palmas,https://www.fifaindex.com/player/199715/vitolo/
152,Portugal,Anthony Lopes,Olym. Lyonnais,https://www.fifaindex.com/player/199482/anthony-lopes/
153,Netherlands,Stefan de Vrij,Lazio,https://www.fifaindex.com/player/198176/stefan-de-vrij/
154,Italy,Mattia Perin,Genoa,https://www.fifaindex.com/player/198009/mattia-perin/
155,Cameroon,Joel Matip,Liverpool,https://www.fifaindex.com/player/197061/joel-matip/
156,Germany,Oliver Baumann,1899 Hoffenheim,https://www.fifaindex.com/player/193698/oliver-baumann/
157,Senegal,Idrissa Gueye,Everton,https://www.fifaindex.com/player/193474/idrissa-gueye/
158,Spain,Iago Aspas,Celta Vigo,https://www.fifaindex.com/player/192629/iago-aspas/
159,Germany,Shkodran Mustafi,Arsenal,https://www.fifaindex.com/player/192227/shkodran-mustafi/
160,Spain,Ander Herrera,Manchester Utd,https://www.fifaindex.com/player/191740/ander-herrera/
161,Argentina,Javier Pastore,PSG,https://www.fifaindex.com/player/191180/javier-pastore/
162,Brazil,Douglas Costa,Juventus,https://www.fifaindex.com/player/190483/douglas-costa/
163,Spain,Parejo,Valencia CF,https://www.fifaindex.com/player/189513/parejo/
164,Japan,Shinji Kagawa,Bor. Dortmund,https://www.fifaindex.com/player/189358/shinji-kagawa/
165,Switzerland,Roman B?rki,Bor. Dortmund,https://www.fifaindex.com/player/189117/roman-b%C3%BCrki/
166,Netherlands,Bas Dost,Sporting CP,https://www.fifaindex.com/player/189068/bas-dost/
167,England,Kyle Walker,Manchester City,https://www.fifaindex.com/player/188377/kyle-walker/
168,Brazil,Oscar,Free Agents,https://www.fifaindex.com/player/188152/oscar/
169,France,Steven N'Zonzi,Sevilla FC,https://www.fifaindex.com/player/187936/steven-nzonzi/
170,Italy,Mario Balotelli,OGC Nice,https://www.fifaindex.com/player/186627/mario-balotelli/
171,Spain,Jos? Callej?n,Napoli,https://www.fifaindex.com/player/185020/jos%C3%A9-callej%C3%B3n/
